Question,Options
患者，女，20岁。末次月经如期来潮，5天干净，7天后阴道再次出血，开始5天量极多，色深红，质稠，今日量稍减，口渴烦热，纳少，大便干，舌苔黄，脉滑数。其治法是,"A 滋阴清热，止血调经
B 清热凉血，止血调经
C 滋水益阴，止血调经
D 凉血化瘀，止血调经
E 清热固冲，止血调经"
患者，女，28岁，已婚。经前小腹疼痛拒按，有灼热感，平素少腹时有隐痛，经来时疼痛加剧，低热，经色暗红，质黏，带下黄稠，溲黄，舌红苔黄腻，脉弦数。其治法是,"A 理气活血，化瘀止痛
B 清热除湿，化瘀止痛
C 益气补血，化瘀止痛
D 养血柔肝，理气止痛
E 调和营卫，化瘀止痛"
患者，女，28岁，已婚。月经50天一行，量少、色淡、质稀，小腹隐痛，喜热喜按，腰酸无力，大便溏薄，小便清长，舌淡苔白，脉沉细而迟。治疗应首选,"A 温经汤《金匮要略》
B 艾附暖宫丸
C 温胞饮
D 大补元煎
E 人参养荣汤"
患者，女，38岁。结婚3年，夫妇同居未孕，月经先后不定期，经行乳房胀痛，善太息，舌淡红苔薄白，脉弦细。其证候是,"A 肝肾阴虚
B 肝郁脾虚
C 肝阳上亢
D 肝郁
E 气滞血瘀"
患者，女，20岁，未婚。每于经期鼻衄，量多、色深红，心烦易怒，口苦咽干，尿黄便结。近3个月来，月经提前7天，量少、色红，舌红苔黄，脉弦数。其诊断是,"A 逆经肺肾阴虚证
B 月经先期血热证
C 逆经肝经郁火证
D 月经先期肝郁化热证
E 月经过少血虚证"
崩漏脾虚证的治法是,"A 滋阴清热，止血调经
B 清热凉血，止血调经
C 温肾固冲，止血调经
D 滋水益阴，止血调经
E 益气摄血，养血调经"
下列各项中，不属于月经后期气滞血瘀证的临床表现是,"A 月经量少或正常
B 经色黯红或有小血块
C 胸胁乳房胀痛
D 小腿隐痛喜按
E 脉弦数"
患者，女，22岁。月经初潮年龄16岁，痛经6年，每于第1天出现小腹冷痛，喜温喜按，经量少、色暗淡，腰腿酸软，小便清长，舌苔白润，脉沉迟。治疗应首选,"A 温经汤(《妇人大全良方》）
B 圣愈汤
C 调肝汤
D 温经汤(《金匮要略》）
E 金匮肾气丸"
下列哪项不是经期延长阴虚血热证的主症,"A 月经持续八九日，量少、色红、质稠
B 小腹疼痛拒按
C 咽干口燥
D 手足心热
E 舌红少苔，脉细数"
下列月经病的治疗，错误的是,"A 重在治本调经
B 分清先病和后病
C 急则治标，缓则治本
D 顺应不同年龄阶段论治
E 多用辛温暖宫之品"
两地汤的组成药物有,"A 白芍、生地、当归、麦冬、沙参、枸杞子
B 白芍、当归、丹皮、川芎、牛膝、莪术
C 白芍、熟地、丹皮、黄柏、青蒿、茯苓
D 白芍、生地、地骨皮、麦冬、玄参、阿胶
E 白芍、生地、当归、丹皮、沙参、茯苓"
治疗经行头痛肝火证，应首选方剂,"A 通窍活血汤
B 羚角钩藤汤
C 天麻钩藤饮
D 镇肝熄风汤
E 加味逍遥丸"
月经量多色黑且有血块，已持续3周，少腹疼痛拒按，舌边瘀点，脉细涩。方选,"A 固本止崩汤
B 左归丸合二至丸
C 清热固经汤
D 逐瘀止血汤
E 通瘀煎"
治疗崩漏实热证，应首选,"A 保阴煎
B 固本止崩汤
C 清热固经汤
D 清热调血汤
E 左归丸"
患者，女，36岁，已婚。近3个月来，月经提前6〜7天，量少、色红，每于经期鼻衄，血量少、色红，潮热咳嗽，两颧潮红，咽干，口渴，舌红苔花剥，脉细数，应引血下行。其治法是,"A 滋阴清热
B 清热凉血
C 疏肝清热
D 滋肾平肝
E 滋肾润肺"
患者，女，18岁，未婚。月经尚未初潮，体质虚弱，腰酸腿软，头晕目眩，舌红少苔，脉沉细尺弱。其治法是,"A 补气养血调经
B 滋阴益气调经
C 补肾养肝调经
D 健脾生血调经
E 补中益气调经"
经间期出血量少，色红质黏腻，胸闷烦躁。治疗应首选,"A 知柏地黄汤
B 清肝止淋汤
C 血府逐瘀汤
D 解毒活血汤
E 逐瘀止血汤"
下列各项，不属于月经病主要病因的是,"A 寒热湿邪
B 房劳多产
C 内伤七情
D 营卫不调
E 体质因素"
与月经后期和月经过少的发病均有关的是,"A 血热
B 血虚
C 血瘀
D 血寒
E 湿热"
治疗月经过多气虚证，应首选,"A 举元煎
B 大补元煎
C 保阴煎
D 固阴煎
E 失笑散"
崩漏虚热证的治法是,"A 滋阴清热，止血调经
B 清热凉血，止血调经
C 温肾固冲，止血调经
D 滋水益阴，止血调经
E 益气摄血，养血调经"
患者，女，18岁，未婚。每于经行小腹绵绵作痛，经净渐除，经量少、质稀，腰酸腿软，舌苔薄白，脉细弱。其治法是,"A 益气止痛
B 补血止痛
C 滋阴止痛
D 益肾养肝止痛
E 疏肝止痛"
气血虚弱证闭经的首选方是,"A 八珍汤
B 圣愈汤
C 十全大补汤
D 人参养荣汤
E 人参滋血汤"
患者，女，20岁，未婚。经行鼻衄3年，量较多，色红，月经周期提前，经量偏少，经行第2天鼻衄，情绪波动影响出血量，舌质红，脉细弦。治疗应首选,"A 丹栀逍遥散
B 清肝引经汤
C 清热固经汤
D 清肝止淋汤
E 顺经汤加牛膝"
治疗痛经湿热下注证，应首选,"A 清热调血汤
B 龙胆泻肝汤
C 知柏地黄汤
D 血府逐瘀汤
E 加味逍遥散"
患者，女性，48岁，月经或前或后，烘热出汗，五心烦热，头晕耳鸣，腰酸乏力，舌红苔薄，脉细数。治疗应首选,"A 两地汤合二至丸
B 二仙汤合二至丸
C 左归丸合二至丸
D 内补丸
E 肾气丸"
治疗痰湿阻滞型闭经的最佳方剂为,"A 小青龙汤
B 芎归二陈汤
C 导痰汤
D 二陈汤
E 四君子汤合苍附导痰丸"
患者，女，34岁，已婚。经行先后不定，经量多、色红、质稠，少腹胀痛，乳房胀痛，舌暗红、苔薄黄，脉弦。治疗应首选,"A 逍遥散
B 小柴胡汤
C 加味逍遥散
D 血府逐瘀汤
E 当归芍药散"
"治疗经间期出血湿热证,应首选","A 两地汤
B 逐瘀止血汤
C 清肝止淋汤
D 清热固经汤
E 燥湿化痰汤"
潮热颧红，舌红少苔脉细数，尿妊娠试验阴性。其治法是,"A 养阴清热调经
B 理气活血通经
C 豁痰活血通经
D 益气养血调经
E 补肾养肝调经"
根据治崩三法，应首选的是,"A 塞流
B 澄源
C 复旧
D 调经为本
E 塞流，澄源并进"
大补元煎的组成是,"A 人参、熟地黄、山药、山萸肉、菟丝子、炙甘草、远志、五味子
B 人参、熟地黄、山药、山萸肉、枸杞子、炙甘草、杜仲、当归
C 人参、熟地黄、黄芪、白术、茯神、远志、 酸枣仁、当归
D 人参、熟地黄、黄芪、白术、茯苓、甘草、 白芍、当归
E 人参、熟地黄、黄苗、白术、陈皮、柴胡、 升麻、当归"
患者，女，22岁，未婚。月经2〜3个月一行，量少色淡，质清稀，时有小腹冷痛，喜热喜按。伴有面色少华，小便清长，便溏，腰酸乏力，四肢欠温，舌淡，苔薄白，脉沉迟无力。治疗应首选,"A 八珍益母丸
B 十全大补丸
C 艾附暖宫丸
D 大补元煎
E 肾气丸"
患者，女，38岁，已婚。近几年形体渐胖，胸闷呕恶，倦怠乏力，月经停闭半年，平时带下量多色白，舌淡胖苔白腻，脉沉滑，尿妊娠试验阴性。治疗应首选,"A 血府逐瘀汤
B 苍附导痰丸
C 参苓白术散
D 开郁二陈汤
E 香砂六君子汤"
患者，女，50岁，已婚。月经紊乱3年余，间隔10天左右或2~3个月一潮，量不多，淋漓数十天不止，色鲜红、质稍稠，头晕耳鸣，腰膝痠软，时或心烦口干，舌红少苔，脉细数。妇检、B型超声波检查无异常，子宫内膜检查为“囊腺型增生过长”，其诊断是,"A 无排卵型功血，肾阴虚型崩漏
B 无排卵型功血，血热型崩漏
C 无排卵型功血，肝热型崩漏
D 排卵型功血，肾阴虚型经期延长
E 排卵型功血，血热型经期延长"
治疗经间期出血肾阴虚证，应首选,"A 两地汤
B 逐瘀止血汤
C 清肝止淋汤
D 清热固经汤
E 燥湿化痰汤"
月经先后无定期，经来量少，色淡暗，质稀，头晕耳鸣，腰骶酸痛。治疗应首选,"A 固阴煎
B 六味地黄丸
C 大补元煎
D 左归丸
E 归肾丸"
患者，女，24岁，已婚。闭经7个月，形体肥胖，胸胁满闷，呕恶痰多，面浮足肿，舌淡苔白腻，脉沉滑。其证候是,"A 肝肾不足
B 气血虚弱
C 痰湿阻滞
D 肝血不足
E 肺肾阴虚"
患者，女，30岁，已婚。1年前因产后大失血，月经逐渐后延，量少、色淡、质稀，现停经6个月余，头晕目眩，心悸气短，毛发脱落，皮肤干燥，舌淡红苔薄白，脉虚细。治疗应首选,"A 人参养荣汤
B 归脾汤
C 加减一阴煎
D 举元煎
E 归肾丸"
育龄期崩漏，多属,"A 气血虚弱
B 肾虚肝郁
C 脾肾亏损
D 肝郁血热
E 肝郁脾虚"
经行乳房胀痛涉及的脏腑是,"A 肝、脾、肾
B 胃、脾、肾
C 肝、胃、肾
D 肺、肝、肾
E 肺、肝、胃"
患者，女，30岁，已婚。月经25天一行，经来量多，色深红，质稠，有血块，口渴心烦。治疗应首选,"A 安冲汤
B 保阴煎
C 两地汤
D 解毒四物汤
E 清热固经汤"
下列哪项不是月经后期虚寒证的主症,"A 经期延后，量少色淡、质清稀
B 小腹空痛，心悸失眠
C 腰酸无力
D 小便清长，大便稀溏
E 脉沉迟或细弱无力"
患者，女，36岁，已婚。两次月经中间，阴道少量出血，色鲜红；头晕腰酸，夜寐不宁，五心烦热，舌质红，苔薄，脉细数。其治法是,"A 益气补肾，固冲止血
B 滋肾养阴，固冲止血
C 养阴清热，固冲止血
D 补肾养肝，固冲止血
E 益气养阴，凉血清热"
痛经之所以随月经周期而发作，下列哪项有关,"A 寒凝胞中
B 经期胞中血虚邪盛
C 经期冲任气血变化急骤
D 冲任血虚、胞宫失养
E 湿热蕴结胞中"
患者，女，30岁，已婚。经期延后，量少，色暗红，有小血块，小腹胀痛，伴胸胁乳房胀痛，现月经中断3个月余，尿妊娠试验阴性，舌苔薄白脉弦。治疗应首选,"A 调肝汤
B 柴胡疏肝散
C 少腹逐瘀汤
D 乌药汤
E 桃红四物汤"
下列哪项不属于闭经的病机,"A 气滞血瘀
B 痰湿阻滞
C 阴虚血燥
D 气血虚弱
E 湿毒壅盛"
崩漏的主要病机是,"A 阴虚欠旺，经血失约
B 气虚不摄，经血失约
C 瘀血内阻，血不归经
D 冲任损伤，经血失约
E 阳盛血热，迫血妄行"
脉沉弱。其证候,"A 肾阴虚
B 肾阳虚
C 脾虚
D 血瘀
E 以上均非"
患者，女，22岁，未婚。经期延后，量少、色黯、有血块，腹痛喜热，畏寒，舌暗苔白，脉沉紧。其治法是,"A 暖宫止痛凋经
B 理气止痛调经
C 活血行气调经
D 扶阳祛寒调经
E 温经散寒调经"
患者，女，38岁，已婚。近半年来，月经23〜25天一行，量少、色红、质稠，持续12〜14天，咽干，潮热，舌红少苔，脉细数。应首先考虑的是,"A 经期延长
B 月经先期
C 月经量少
D 漏下
E 绝经前后诸证"
清经散的组成是,"A 丹皮、赤芍、地骨皮、黄芩、黄柏、茯苓、 生地
B 丹皮、地骨皮、青蒿、黄柏、茯苓、黄芩、 麦冬
C 丹皮、青蒿、黄芩、黄柏、茯苓、赤芍、地骨皮
D 丹皮、地骨皮、白芍、熟地、青蒿、黄柏、茯苓
E 丹皮、地榆、白芍、生地、黄柏、茯苓、 青蒿"
治疗月经先期阳盛血热证，应首选,"A 清经散
B 逍遥散
C 当归芍药散
D 导赤散
E 柴胡疏肝散"
下列各项，不属于月经过少肾虚证临床表现的是,"A 经量渐少，色暗淡，质稀
B 头晕耳鸣，腰膝酸软
C 头晕目眩，胸胁胀满
D 舌质淡，脉沉弱
E 小腹冷，夜尿多"
围绝经期崩漏，多属,"A 气血虚弱
B 肾虚肝郁
C 脾肾亏损
D 肝郁血热
E 肝郁脾虚"
治疗经行头痛血瘀证，应选用,"A 羚角钩藤汤
B 八珍汤
C 补血益气汤
D 生化汤
E 通窍活血汤"
闭经的治疗原则是,"A 补而通之，泻而通之
B 理气活血，祛瘀通经
C 益气养血，以益冲任
D 补益肝肾，以填精血
E 补中有通，补而不腻"
治疗经行泄泻脾虚证，应首选,"A 补中益气汤
B 香砂六君子汤
C 人参养营汤
D 参苓白术散
E 健固汤合四神丸"
治疗闭经时，应按照哪项原则,"A 虚者补之，实者泻之
B 补气养血，益经之源
C 活血逐瘀，以通为先
D 补益肝肾，以培根本
E 先攻后补，或先补后攻"
下列哪一项可诊断为闭经,"A 月经3个月一至，无其他不适
B 月经1年一行，无其他不适
C 月经停闭4个月，小腹膨隆，脉滑利
D 产后3～5个月，从未来经
E 既往月经不调，现7月未行"
患者，女，36岁，已婚。经行时肢体疼痛麻木，肢软无力，月经量少，色淡质薄，面色无华，舌淡，苔白，脉细弱。治疗应首选,"A 八珍汤
B 当归补血汤
C 血府逐瘀汤
D 趁痛丸
E 圣愈汤"
下列除哪项外，均属月经过少血虚证的临床表现,"A 月经量少，色淡无块
B 胸闷泛恶，纳呆
C 头晕眼花
D 舌淡红.
E 脉细"
患者月经一月两行，量多，色深红，质粘稠，口干，舌质红，苔黄，脉滑数，其证候是,"A 阳盛血热证
B 气虚证
C 血虚证
D 气滞血瘀证
E 肾虚证"
8〜10天，量多、色淡、质稀，神疲肢倦，小腹空坠，舌淡，脉缓弱，诊为月经先期。其证候是,"A 气虚
B 实热
C 虚热
D 肝郁血热
E 阳盛血热"
治疗月经过少痰湿证，应首选,"A 滋血汤
B 归肾丸
C 桃红四物汤
D 乌药汤
E 苍附导痰丸"
患者，女，19岁。月经不调，周期45～50天，经血量少，色黯有块，小腹冷痛，得热减轻，畏寒肢冷，舌暗苔白，脉紧。其诊断是,"A 血寒型虚寒性月经后期
B 血寒型实寒性月经后期
C 血寒型痛经
D 虚寒型痛经
E 肾阳虚型月经过少"
苔薄白，脉缓弱。治疗应首选,"A 举元煎
B 补中益气汤
C 固本止崩汤
D 清热固经汤
E 保阴煎"
下列哪项不是闭经与痛经的共同病机,"A 气血虚弱
B 气滞血瘀
C 肺肾阴虚.
D 肝肾不足
E 寒凝血瘀"
下列各项，不属导致崩漏常见病因的是,"A 脾虚
B 肾虚
C 血虚
D 血瘀
E 血热"
月经先后不定期的主要发病机制是,"A 肝郁气滞，疏泄失调
B 肾气不足，封藏失职
C 脾气虚弱，统摄无权
D 湿热下注，任带不固
E 气血失调,血海蓄溢失常"
治疗痛经气滞血瘀证，应首选,"A 血府逐疲汤
B 膈下逐瘀汤
C 少腹逐瘀汤
D 身痛逐瘀汤
E 通窍活血汤"
治疗经断复来湿热下注证，应首选,"A 安老汤
B 知柏地黄丸
C 易黄汤
D 萆薜胜湿汤
E 龙胆泻肝丸"
下列除哪项外，均为痛经气血虚弱证的主症,"A 腹痛出现在行经之后
B 腹痛喜按
C 月经量少、色淡、质稀
D 神疲乏力，纳少便溏
E 头晕眼花，腰痛如折"
治疗不孕瘀滞胞宫证，应首选,"A 逐瘀止血汤
B 身痛逐瘀汤
C 生化汤
D 香棱丸
E 少腹逐瘀汤"
阴痒之肝经湿热证，治疗宜选,"A 五味消毒饮
B 仙方活命饮
C 知柏地黄丸
D 龙胆泻肝汤
E 加味五苓散"
妇人腹痛肾阳虚衰证的治法是,"A 温肾助阳，暖宫止痛
B 行气活血，化瘀止痛
C 补血养营，和中止痛
D 清热除湿，化瘀止痛
E 散寒除湿，化瘀止痛"
治疗癥瘕气滞证，应首选,"A 开郁二陈汤
B 苍附导痰丸
C 香棱丸
D 桂枝茯苓丸
E 血府逐瘀汤"
治疗癥瘕痰湿证，应首选,"A 开郁二陈汤
B 苍附导痰丸
C 香棱丸
D 桂枝茯苓丸
E 血府逐瘀汤"
患者，女，32岁。小腹及少腹疼痛拒按，有灼热感，伴腰骶疼痛，低热起伏，带下量多，色黄、质稠，溲黄，舌红苔黄腻，脉弦滑。其治法是,"A 清热除湿，化瘀止痛
B 行气活血，化瘀止痛
C 疏肝理气，化瘀止痛
D 凉血活血，化瘀止痛
E 健脾利湿，化瘀止痛"
妇女子宫脱垂，属于,"A 脾气虚
B 脾阳虚
C 中气下陷
D 寒湿困脾
E 湿热蕴脾"
"患者结婚6年不孕,形体肥胖,经行后期,带下量多,色白黏无臭,胸闷纳差,嗜睡无力,肢体多毛,舌淡胖苔白腻,脉濡滑。其证属","A 瘀滞胞宫
B 肝气郁结
C 肾气虚
D 痰湿内阻
E 肾阳虚"
患者，女，30岁。已婚3年不孕，月经2～3个月一行，头晕耳鸣，腰膝腿软，畏寒肢冷，性欲淡漠，舌淡苔白，脉沉细而迟。治疗应首选,"A 大补元煎
B 固阴煎
C 补肾固冲丸
D 毓麟珠
E 温胞饮"
下列癥瘕的定义，正确的是,"A 癥多为恶性，瘕多为良性
B 癥有形可征，固定不移，痛无定处
C 瘕聚散无常，推之可移，痛有定处
D 妇人下腹结块，或痛，或胀，或满
E 癥属气病，瘕属血病"
患者，女，25岁，已婚。有盆腔炎病史，下腹部疼痛结块，缠绵日久，痛连腰骶，经行加重，经血量多有块，带下量多，精神不振，纳少乏力，舌质紫黯有瘀点，苔白，脉弦涩无力。治疗应首选,"A 理冲汤
B 膈下逐瘀汤
C 少腹逐瘀汤
D 血府逐瘀汤
E 银甲丸"
"慢性盆腔炎湿热瘀结证,治疗首选","A 仙方活命饮
B 当归芍药散
C 银甲丸
D 大黄牡丹汤
E 膈下逐瘀汤"
女子婚后未避孕，有正常性生活，同居2年，而未受孕者，称为,"A 绝对不孕
B 五不女
C 断绪
D 不育
E 全不产"
阴挺之气虚证的主治方剂是,"A 四君子汤
B 六君子汤
C 补中益气汤
D 八珍汤
E 以上均非"
治疗肾阳虚之不孕症，应首选,"A 温胞饮
B 养精种玉汤
C 开郁种玉汤
D 启宫丸
E 开郁二陈汤"
